2026-04-15 12:11:06 - spider - DEBUG - 解析电影: 雨人
2026-04-15 12:11:06 - spider - DEBUG - 解析电影: 虎口脱险
2026-04-15 12:11:06 - spider - DEBUG - 解析电影: 哈利·波特与凤凰社
2026-04-15 12:11:06 - spider - DEBUG - 解析电影: 彗星来的那一夜
2026-04-15 12:11:06 - spider - DEBUG - 解析电影: 罗生门
2026-04-15 12:11:06 - spider - DEBUG - 解析电影: 海边的曼彻斯特
2026-04-15 12:11:06 - spider - DEBUG - 解析电影: 恋恋笔记本
2026-04-15 12:11:06 - spider - DEBUG - 解析电影: 火星救援
2026-04-15 12:11:06 - spider - DEBUG - 解析电影: 真爱至上
2026-04-15 12:11:06 - spider - DEBUG - 解析电影: 黑客帝国2：重装上阵
2026-04-15 12:11:06 - spider - DEBUG - 解析电影: 冰雪奇缘
2026-04-15 12:11:06 - spider - DEBUG - 解析电影: 步履不停
2026-04-15 12:11:06 - spider - DEBUG - 解析电影: 奇迹男孩
2026-04-15 12:11:06 - spider - DEBUG - 解析电影: 千年女优
2026-04-15 12:11:06 - spider - DEBUG - 解析电影: 战争之王
2026-04-15 12:11:06 - spider - DEBUG - 解析电影: 谍影重重2
2026-04-15 12:11:06 - spider - DEBUG - 解析电影: 蜘蛛侠：平行宇宙
2026-04-15 12:11:06 - spider - DEBUG - 解析电影: 攻壳机动队
2026-04-15 12:11:06 - spider - DEBUG - 解析电影: 血钻
2026-04-15 12:11:06 - spider - DEBUG - 解析电影: 小姐
2026-04-15 12:11:06 - spider - DEBUG - 解析电影: 隐藏人物
2026-04-15 12:11:06 - spider - DEBUG - 解析电影: 血观音
2026-04-15 12:11:06 - spider - DEBUG - 解析电影: 魂断蓝桥
2026-04-15 12:11:06 - spider - DEBUG - 解析电影: 房间
2026-04-15 12:11:06 - spider - INFO - 第 10 页爬取完成，获取 25 部电影
2026-04-15 12:11:06 - spider - INFO - 爬取完成，共获取 250 部电影
2026-04-15 12:11:06 - main - INFO - 准备将 250 部电影存入数据库
2026-04-15 12:11:06 - database - INFO - 数据库连接成功
2026-04-15 12:11:06 - database - INFO - 数据库 douban_movies 已创建或已存在
